Issue Type,Summary,Description,Priority,Story Points,Epic Link,Sprint,Assignee,Labels,Components,Status
Epic,[AUTH] Sistema de Autenticacion,"Como usuario quiero registrarme e iniciar sesion en StickerHub para acceder a mi coleccion de figuritas.

Incluye:
- Registro con magic link
- Inicio de sesion
- Middleware de proteccion de rutas

Descripcion Tecnica:
- Supabase Auth
- Next.js Middleware
- RLS policies",High,,,Sprint 1,,epic-auth,"auth,backend",To Do
Epic,[ALBUM] Album Digital,"Como coleccionista quiero ver y navegar el album de figuritas del Mundial FIFA 2026 con las 48 selecciones.

Incluye:
- Album general con 48 selecciones
- Album por equipo
- Vista flipbook interactiva
- Fichas de jugadores con estadisticas FIFA

Descripcion Tecnica:
- Next.js App Router
- Supabase PostgreSQL
- react-pageflip",High,,,Sprint 1,,epic-album,"frontend,album",To Do
Epic,[PACKS] Sistema de Sobres y Economia,"Como coleccionista quiero abrir sobres virtuales y gestionar monedas.

Incluye:
- Apertura de sobres con animacion
- Sobres de bienvenida (5 + 500 monedas)
- Economia de monedas (descarte, recompensas)
- Tienda de sobres

Descripcion Tecnica:
- API Routes /api/packs
- Sistema de inventario
- Animaciones CSS/React",High,,,Sprint 1,,epic-packs,"frontend,packs",To Do
Epic,[TRADING] Marketplace de Intercambios,"Como coleccionista quiero intercambiar figuritas con otros usuarios.

Incluye:
- Publicar repetidas en marketplace
- Proponer intercambios
- Aceptar/Rechazar trades
- Inbox de notificaciones
- Actualizacion automatica de colecciones

Descripcion Tecnica:
- API Routes /api/trades, /api/listings
- Supabase Realtime
- Transacciones atomicas",High,,,Sprint 1,,epic-trading,"frontend,trading",To Do
Epic,[PROFILE] Perfil y Estadisticas,"Como coleccionista quiero ver mi perfil con estadisticas, progreso e insignias.

Incluye:
- Perfil de usuario
- Estadisticas de coleccion
- Insignias por hitos
- Dashboard de progreso
- Sistema de reputacion

Descripcion Tecnica:
- Tabla profiles
- Badges system
- Gamificacion",High,,,Sprint 1,,epic-profile,"frontend,profile",To Do
Epic,[CI/CD] Pipeline de Integracion y Despliegue,"Como equipo de desarrollo necesitamos automatizar el build, test y deploy del proyecto.

Incluye:
- GitHub Actions workflow
- Vercel deployment automatico
- Lint y TypeScript check
- Security audit RLS

Descripcion Tecnica:
- .github/workflows/ci.yml
- Vercel hooks
- Preview deployments",High,,,Sprint 1,,epic-cicd,"cicd,infra",To Do
Epic,[DOCS] Documentacion Academica,"Como equipo necesitamos entregar la documentacion completa del proyecto segun los lineamientos del curso.

Incluye:
- 7 entregables academicos
- Project Charter
- Planes de gestion
- Sprints
- Video CI/CD demonstrativo

Descripcion Tecnica:
- Documentos en formato .docx
- Video mp4
- Jira + Google Drive",High,,,Sprint 1,,epic-docs,docs,To Do
Story,US-01: Repositorio GitHub con CI/CD,"Como equipo de desarrollo, necesitamos un repositorio GitHub con CI/CD para automatizar el build y deploy del proyecto.

Criterios de Aceptacion:
- Dado que un desarrollador hace un push a la rama main
- Cuando GitHub Actions ejecuta el workflow
- Entonces el build compila sin errores, el lint pasa sin advertencias y Vercel realiza el deploy automaticamente en menos de 5 minutos.

- Dado que el build falla por un error de compilacion
- Cuando GitHub Actions termina la ejecucion
- Entonces el workflow muestra estado de error y no actualiza produccion.",High,5,epic-cicd,Sprint 1 (22-28 May 2026),,"cicd,infra",backend,To Do
Story,US-02: Registro con Magic Link,"Como nuevo usuario, quiero registrarme con mi direccion de email para acceder a StickerHub sin necesidad de contrasena.

Criterios de Aceptacion:
- Dado que un visitante esta en la pagina de login
- Cuando ingresa su email valido y presiona 'Enviar magic link'
- Entonces el sistema crea una cuenta en Supabase Auth y envia el email de acceso en menos de 30 segundos.

- Dado que el usuario ingresa un email con formato invalido
- Cuando presiona 'Enviar magic link'
- Entonces el sistema muestra 'Ingresa un email valido' sin enviar solicitud al servidor.",High,5,epic-auth,Sprint 1 (22-28 May 2026),,"auth,frontend",frontend,To Do
Story,US-03: Inicio de Sesion con Magic Link,"Como usuario registrado, quiero iniciar sesion con un magic link enviado a mi email para acceder a mi coleccion de forma segura.

Criterios de Aceptacion:
- Dado que el usuario tiene cuenta registrada y recibio el magic link
- Cuando hace clic en el enlace
- Entonces el sistema valida el token, inicia la sesion y redirige al album dentro de 3 segundos.

- Dado que el usuario presiona 'Cerrar sesion'
- Cuando el sistema procesa la solicitud
- Entonces la sesion de Supabase se invalida y el usuario es redirigido al login.",High,5,epic-auth,Sprint 1 (22-28 May 2026),,"auth,backend",backend,To Do
